"Package"	"LibPath"	"Version"	"Priority"	"Depends"	"Imports"	"LinkingTo"	"Suggests"	"Enhances"	"License"	"License_is_FOSS"	"License_restricts_use"	"OS_type"	"MD5sum"	"NeedsCompilation"	"Built"
"openssl"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.0.5"	NA	NA	"askpass"	NA	"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"parallel"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	"tools, compiler"	NA	"methods"	"snow, nws, Rmpi"	"Part of R 4.2.2"	NA	NA	NA	NA	"yes"	"4.2.2"
"parallelly"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.37.1"	NA	NA	"parallel, tools, utils"	NA	NA	NA	"LGPL (>= 2.1)"	NA	NA	NA	NA	"yes"	"4.2.3"
"patchwork"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.0"	NA	NA	"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics, rlang, cli"	NA	"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.3"
"pbkrtest"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.5.2"	NA	"R (>= 4.1.0), lme4 (>= 1.1.31)"	"broom, dplyr, MASS, Matrix (>= 1.2.3), methods, numDeriv,
parallel"	NA	"knitr"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.0"
"pdc"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.3"	NA	NA	"stats, utils, grDevices, graphics"	NA	"plotrix, lattice"	NA	"GPL (>= 3)"	NA	NA	NA	NA	"yes"	"4.2.0"
"pillar"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.9.0"	NA	NA	"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)"	NA	"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"pkgbuild"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.4.3"	NA	"R (>= 3.5)"	"callr (>= 3.2.0), cli (>= 3.4.0), desc, processx, R6"	NA	"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0), withr (>= 2.3.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.3"
"pkgconfig"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.0.3"	NA	NA	"utils"	NA	"covr, testthat, disposables (>= 1.0.3)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"pkgload"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.3.4"	NA	"R (>= 3.4.0)"	"cli (>= 3.3.0), crayon, desc, fs, glue, methods, pkgbuild,
rlang (>= 1.1.1), rprojroot, utils, withr (>= 2.4.3)"	NA	"bitops, covr, mathjaxr, mockr, pak, Rcpp, remotes,
rstudioapi, testthat (>= 3.1.0)"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.3"
"plyr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.8.9"	NA	"R (>= 3.1.0)"	"Rcpp (>= 0.11.0)"	"Rcpp"	"abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"png"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.1-8"	NA	"R (>= 2.9.0)"	NA	NA	NA	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.0"
"polynom"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.4-1"	NA	NA	"stats, graphics"	NA	"knitr, rmarkdown"	NA	"GPL-2"	NA	NA	NA	NA	"no"	"4.2.0"
"prabclus"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.3-3"	NA	"R (>= 2.10), MASS, mclust"	NA	NA	"spdep, spatialreg, bootstrap, foreign, mvtnorm"	NA	"GPL"	NA	NA	NA	NA	"no"	"4.2.0"
"praise"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.0"	NA	NA	NA	NA	"testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"prettyunits"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1.1"	NA	NA	NA	NA	"codetools, covr, testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"pROC"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.18.5"	NA	"R (>= 2.14)"	"methods, plyr, Rcpp (>= 0.11.1)"	"Rcpp"	"microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2, rlang"	NA	"GPL (>= 3)"	NA	NA	NA	NA	"yes"	"4.2.0"
"processx"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.8.3"	NA	"R (>= 3.4.0)"	"ps (>= 1.2.0), R6, utils"	NA	"callr (>= 3.7.3), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0),
webfakes, withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"prodlim"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2023.08.28"	NA	"R (>= 2.9.0)"	"Rcpp (>= 0.11.5), stats, data.table, grDevices, graphics,
diagram, survival, KernSmooth, lava"	"Rcpp"	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"progress"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.2"	NA	NA	"hms, prettyunits, R6, crayon"	NA	"Rcpp, testthat, withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"progressr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.14.0"	NA	"R (>= 3.5.0)"	"digest, utils"	NA	"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
RPushbullet, rstudioapi, shiny, commonmark, base64enc, tools"	NA	"GPL (>= 3)"	NA	NA	NA	NA	"no"	"4.2.0"
"promises"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.1"	NA	NA	"fastmap (>= 1.1.0), later, magrittr (>= 1.5), R6, Rcpp, rlang,
stats"	"later, Rcpp"	"future (>= 1.21.0), knitr, purrr, rmarkdown, spelling,
testthat, vembedr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"proxy"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.4-27"	NA	"R (>= 3.4.0)"	"stats, utils"	NA	"cba"	NA	"GPL-2"	NA	NA	NA	NA	"yes"	"4.2.0"
"ps"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.7.6"	NA	"R (>= 3.4)"	"utils"	NA	"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0), webfakes"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"purrr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.1"	NA	"R (>= 3.4.0)"	"cli (>= 3.4.0), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 0.4.10), vctrs (>= 0.5.0)"	"cli"	"covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"qdapRegex"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.7.8"	NA	"R (>= 3.5.0)"	"stringi (>= 0.5-5)"	NA	"testthat"	NA	"GPL-2"	NA	NA	NA	NA	"no"	"4.2.0"
"quadprog"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.5-8"	NA	"R (>= 3.1.0)"	NA	NA	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"quantmod"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.4.25"	NA	"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods"	"curl, jsonlite(>= 1.1)"	NA	"DBI,RMySQL,RSQLite,timeSeries,xml2,downloader"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.0"
"quantreg"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"5.97"	NA	"R (>= 3.5), stats, SparseM"	"methods, graphics, Matrix, MatrixModels, survival, MASS"	NA	"interp, rgl, logspline, nor1mix, Formula, zoo, R.rsp, conquer"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"R6"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.5.1"	NA	"R (>= 3.0)"	NA	NA	"testthat, pryr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"ragg"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.2.7"	NA	NA	"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)"	"systemfonts, textshaping"	"covr, graphics, grid, testthat (>= 3.0.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"rappdirs"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.3.3"	NA	"R (>= 3.2)"	NA	NA	"roxygen2, testthat (>= 3.0.0), covr, withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"RColorBrewer"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1-3"	NA	"R (>= 2.0.0)"	NA	NA	NA	NA	"Apache License 2.0"	NA	NA	NA	NA	"no"	"4.2.0"
"Rcpp"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.12"	NA	NA	"methods, utils"	NA	"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.3"
"RcppArmadillo"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.12.8.1.0"	NA	"R (>= 3.3.0)"	"Rcpp (>= 0.11.0), stats, utils, methods"	"Rcpp"	"tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.3"
"RcppEigen"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.3.4.0.0"	NA	"R (>= 3.6.0)"	"Rcpp (>= 0.11.0), stats, utils"	"Rcpp"	"Matrix, inline, tinytest, pkgKitten, microbenchmark"	NA	"GPL (>= 2) | file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"RcppParallel"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"5.1.7"	NA	"R (>= 3.0.2)"	NA	NA	"Rcpp, RUnit, knitr, rmarkdown"	NA	"GPL (>= 3)"	NA	NA	NA	NA	"yes"	"4.2.0"
"RcppThread"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.1.7"	NA	"R (>= 3.3.0)"	NA	NA	"testthat, R.rsp, Rcpp"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"RcppTOML"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.2.2"	NA	"R (>= 3.3.0)"	"Rcpp (>= 0.11.5)"	"Rcpp"	"tinytest"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"readr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.1.5"	NA	"R (>= 3.6)"	"cli (>= 3.2.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.6.0)"	"cpp11, tzdb (>= 0.1.1)"	"covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.2.0), tzdb (>= 0.1.1), waldo, withr, xml2"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"readxl"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.4.3"	NA	"R (>= 3.6)"	"cellranger, tibble (>= 2.0.1), utils"	"cpp11 (>= 0.4.0), progress"	"covr, knitr, rmarkdown, testthat (>= 3.1.6), withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"recipes"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.10"	NA	"dplyr (>= 1.1.0), R (>= 3.6)"	"cli, clock (>= 0.6.1), ellipsis, generics (>= 0.1.2), glue,
gower, hardhat (>= 1.3.0), ipred (>= 0.9-12), lifecycle (>=
1.0.3), lubridate (>= 1.8.0), magrittr, Matrix, purrr (>=
1.0.0), rlang (>= 1.1.0), stats, tibble, tidyr (>= 1.0.0),
tidyselect (>= 1.2.0), timeDate, utils, vctrs (>= 0.5.0), withr"	NA	"covr, ddalpha, dials (>= 1.2.0), ggplot2, igraph, kernlab,
knitr, modeldata (>= 0.1.1), parsnip (>= 1.2.0), RANN,
RcppRoll, rmarkdown, rpart, rsample, RSpectra, splines2,
testthat (>= 3.0.0), workflows, xml2"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.3"
"rematch"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.1"	NA	NA	NA	NA	"covr, testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"rematch2"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.1.2"	NA	NA	"tibble"	NA	"covr, testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"reprex"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.0.2"	NA	"R (>= 3.4)"	"callr (>= 3.6.0), cli (>= 3.2.0), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), lifecycle, rlang (>= 1.0.0), rmarkdown,
rstudioapi, utils, withr (>= 2.3.0)"	NA	"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"reshape2"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.4.4"	NA	"R (>= 3.1)"	"plyr (>= 1.8.1), Rcpp, stringr"	"Rcpp"	"covr, lattice, testthat (>= 0.8.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"reticulate"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.35.0"	NA	"R (>= 3.5)"	"Matrix, Rcpp (>= 1.0.7), RcppTOML, graphics, here, jsonlite,
methods, png, rappdirs, utils, rlang, withr"	"Rcpp"	"callr, knitr, glue, cli, rmarkdown, pillar, testthat"	NA	"Apache License 2.0"	NA	NA	NA	NA	"yes"	"4.2.3"
"rgl"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.3.1"	NA	"R (>= 3.6.0)"	"graphics, grDevices, stats, utils, htmlwidgets (>= 1.6.0),
htmltools, knitr (>= 1.33), jsonlite (>= 0.9.20), magrittr, R6,
base64enc, mime"	NA	"MASS, markdown (>= 1.12), rmarkdown (>= 2.16), deldir (>=
1.0-4), orientlib, lattice, misc3d, magick, plotrix (>= 3.7-3),
tripack, interp, alphashape3d, tcltk, js (>= 1.2), webshot2 (>=
0.1.0), downlit (>= 0.4.0), pkgdown (>= 2.0.0), extrafont,
shiny, manipulateWidget (>= 0.9.0), testthat, crosstalk, V8,
chromote, jpeg, png"	"waldo"	"GPL"	NA	NA	NA	NA	"yes"	"4.2.3"
"rlang"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1.3"	NA	"R (>= 3.5.0)"	"utils"	NA	"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr"	"winch"	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"rmarkdown"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.20"	NA	"R (>= 3.0)"	"bslib (>= 0.2.5.1), evaluate (>= 0.13), htmltools (>= 0.5.1),
jquerylib, jsonlite, knitr (>= 1.22), methods, stringr (>=
1.2.0), tinytex (>= 0.31), tools, utils, xfun (>= 0.36), yaml
(>= 2.1.19)"	NA	"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, vctrs, withr (>= 2.4.2)"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.0"
"robustbase"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.99-2"	NA	"R (>= 3.5.0)"	"stats, graphics, utils, methods, DEoptimR"	NA	"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt"	"robustX, rrcov, matrixStats, quantreg, Hmisc"	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.3"
"rpart"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.1.19"	"recommended"	"R (>= 2.15.0), graphics, stats, grDevices"	NA	NA	"survival"	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.2"
"rpart.plot"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"3.1.2"	NA	"R (>= 3.4.0), rpart (>= 4.1-15)"	NA	NA	"earth (>= 5.1.2)"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.3"
"rprojroot"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.0.4"	NA	"R (>= 3.0.0)"	NA	NA	"covr, knitr, lifecycle, mockr, rlang, rmarkdown, testthat (>=
3.0.0), withr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"RSpectra"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.16-1"	NA	"R (>= 3.0.2)"	"Matrix (>= 1.1-0), Rcpp (>= 0.11.5)"	"Rcpp, RcppEigen (>= 0.3.3.3.0)"	"knitr, rmarkdown, prettydoc"	NA	"MPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"rstatix"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.7.2"	NA	"R (>= 3.3.0)"	"stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.2.0), car, generics (>= 0.0.2)"	NA	"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling"	NA	"GPL-2"	NA	NA	NA	NA	"no"	"4.2.0"
"rstudioapi"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.14"	NA	NA	NA	NA	"testthat, knitr, rmarkdown, clipr, covr"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"rvest"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0.3"	NA	"R (>= 3.2)"	"glue, cli, httr (>= 0.5), lifecycle (>= 1.0.0), magrittr,
rlang (>= 1.0.0), selectr, tibble, xml2 (>= 1.3), withr"	NA	"covr, knitr, readr, repurrrsive, rmarkdown, spelling, stringi
(>= 0.3.1), testthat (>= 3.0.2), webfakes"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"s2"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.1.6"	NA	"R (>= 3.0.0)"	"Rcpp, wk (>= 0.6.0)"	"Rcpp, wk"	"bit64, testthat (>= 3.0.0), vctrs"	NA	"Apache License (== 2.0)"	NA	NA	NA	NA	"yes"	"4.2.3"
"sass"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.4.5"	NA	NA	"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs"	NA	"testthat, knitr, rmarkdown, withr, shiny, curl"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"scales"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.3.0"	NA	"R (>= 3.6)"	"cli, farver (>= 2.0.3), glue, labeling, lifecycle, munsell (>=
0.5), R6, RColorBrewer, rlang (>= 1.0.0), viridisLite"	NA	"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"scatterplot3d"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.3-44"	NA	"R (>= 2.7.0)"	"grDevices, graphics, stats"	NA	NA	NA	"GPL-2"	NA	NA	NA	NA	"no"	"4.2.0"
"selectr"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.4-2"	NA	"R (>= 3.0)"	"methods, stringr, R6"	NA	"testthat, XML, xml2"	NA	"BSD_3_clause + file LICENCE"	NA	NA	NA	NA	"no"	"4.2.0"
"sf"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.0-16"	NA	"methods, R (>= 3.3.0)"	"classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.1.0), stats, tools, units
(>= 0.7-0), utils"	"Rcpp"	"blob, nanoarrow, covr, dplyr (>= 1.0.0), ggplot2, knitr,
lwgeom (>= 0.2-14), maps, mapview, Matrix, microbenchmark,
odbc, pbapply, pillar, pool, raster, rlang, rmarkdown,
RPostgres (>= 1.1.0), RPostgreSQL, RSQLite, sp (>= 1.2-4),
spatstat (>= 2.0-1), spatstat.geom, spatstat.random,
spatstat.linnet, spatstat.utils, stars (>= 0.2-0), terra,
testthat (>= 3.0.0), tibble (>= 1.4.1), tidyr (>= 1.2.0),
tidyselect (>= 1.0.0), tmap (>= 2.0), vctrs, wk (>= 0.9.0)"	NA	"GPL-2 | MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.3"
"shape"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.4.6.1"	NA	"R (>= 2.01)"	"stats, graphics, grDevices"	NA	NA	NA	"GPL (>= 3)"	NA	NA	NA	NA	"no"	"4.2.3"
"shiny"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.8.0"	NA	"R (>= 3.0.2), methods"	"utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.1), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.3.0), cachem, ellipsis, lifecycle (>= 0.2.0)"	NA	"datasets, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, yaml, future, dygraphs, ragg, showtext, sass"	NA	"GPL-3 | file LICENSE"	NA	NA	NA	NA	"no"	"4.2.3"
"shinyjs"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2.1.0"	NA	"R (>= 3.1.0)"	"digest (>= 0.6.8), jsonlite, shiny (>= 1.0.0)"	NA	"htmltools (>= 0.2.9), knitr (>= 1.7), rmarkdown, shinyAce,
shinydisconnect, testthat (>= 0.9.1)"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"no"	"4.2.0"
"snakecase"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.11.1"	NA	"R (>= 3.2)"	"stringr, stringi"	NA	"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr"	NA	"GPL-3"	NA	NA	NA	NA	"no"	"4.2.0"
"sourcetools"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"0.1.7-1"	NA	"R (>= 3.0.2)"	NA	NA	"testthat"	NA	"MIT + file LICENSE"	NA	NA	NA	NA	"yes"	"4.2.0"
"SparseM"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.81"	NA	"R (>= 2.15), methods"	"graphics, stats, utils"	NA	NA	NA	"GPL (>= 2)"	NA	NA	NA	NA	"yes"	"4.2.0"
"spatial"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"7.3-15"	"recommended"	"R (>= 3.0.0), graphics, stats, utils"	NA	NA	"MASS"	NA	"GPL-2 | GPL-3"	NA	NA	NA	NA	"yes"	"4.2.2"
"splines"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	"graphics, stats"	NA	"Matrix, methods"	NA	"Part of R 4.2.2"	NA	NA	NA	NA	"yes"	"4.2.2"
"SQUAREM"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"2021.1"	NA	"R (>= 3.0)"	NA	NA	"setRNG"	NA	"GPL (>= 2)"	NA	NA	NA	NA	"no"	"4.2.0"
"stats"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	"utils, grDevices, graphics"	NA	"MASS, Matrix, SuppDists, methods, stats4"	NA	"Part of R 4.2.2"	NA	NA	NA	NA	"yes"	"4.2.2"
"stats4"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"4.2.2"	"base"	NA	"graphics, methods, stats"	NA	NA	NA	"Part of R 4.2.2"	NA	NA	NA	NA	NA	"4.2.2"
"stringi"	"/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library"	"1.7.12"	NA	"R (>= 3.1)"	"tools, utils, stats"	NA	NA	NA	"file LICENSE"	"yes"	NA	NA	NA	"yes"	"4.2.0"
